uranus_x,uranus_y,uranus_z
460.4101394659223,335.6931425844416,-4.716653085563137
460.3428437119718,335.77931582017777,-4.715464494528686
460.27553040902154,335.8654762477564,-4.71427572373329
460.2081995593036,335.95162386364035,-4.713086773218943
460.1408511650505,336.03775866429316,-4.71189764302765
460.0734852284958,336.1238806461784,-4.710708333201422
460.0061017518735,336.20998980576,-4.709518843782281
459.93870073741834,336.2960861395025,-4.708329174812253
459.8712821873658,336.3821696438702,-4.7071393263333725
459.803846103952,336.4682403153281,-4.705949298387684
459.7363924894139,336.55429815034137,-4.704759091017242
459.668921345989,336.6403431453753,-4.703568704264103
459.60143267591565,336.72637529689575,-4.702378138170336
459.53392648143256,336.81239460136874,-4.701187392778016
459.46640276477945,336.89840105526065,-4.6999964681292274
459.39886152819673,336.984394655038,-4.698805364266061
459.33130277392536,337.0703753971677,-4.697614081230617
459.26372650420706,337.1563432781171,-4.696422619065003
459.19613272128447,337.24229829435365,-4.695230977811335
459.1285214274004,337.328240442345,-4.694039157511734
459.06089262479895,337.4141697185595,-4.692847158208335
458.9932463157245,337.5000861194654,-4.691654979943276
458.9255825024223,337.58598964153146,-4.6904626227587025
458.8579011871381,337.67188028122655,-4.689270086696772
458.79020237211864,337.75775803502006,-4.688077371799648
458.72248605961124,337.84362289938144,-4.686884478109501
458.65475225186384,337.92947487078067,-4.6856914056685115
458.5870009511251,338.0153139456879,-4.684498154518865
458.51923215964445,338.1011401205735,-4.683304724702758
458.451445879672,338.18695339190833,-4.682111116262394
458.3836421134585,338.27275375616347,-4.680917329239984
458.31582086325545,338.35854120981014,-4.679723363677747
458.247982131315,338.4443157493201,-4.678529219617909
458.18012591989,338.53007737116525,-4.677334897102708
458.11225223123404,338.6158260718178,-4.676140396174385
458.04436106760136,338.70156184775027,-4.6749457168751904
457.97645243124674,338.7872846954355,-4.673750859247385
457.9085263244262,338.87299461134677,-4.672555823333236
457.84058274939594,338.9586915919573,-4.67136060917502
457.7726217084129,339.04437563374086,-4.670165216815016
457.70464320373486,339.1300467331715,-4.668969646295518
457.6366472376204,339.21570488672353,-4.667773897658824
457.56863381232847,339.3013500908715,-4.666577970947242
457.5006029301189,339.3869823420904,-4.665381866203087
457.43255459325235,339.4726016368554,-4.664185583468681
457.3644888039899,339.55820797164205,-4.662989122786357
457.2964055645936,339.64380134292605,-4.661792484198451
457.22830487732597,339.7293817471835,-4.660595667747312
457.16018674445036,339.8149491808908,-4.659398673475296
457.0920511682307,339.9005036405247,-4.658201501424764
457.02389815093176,339.9860451225622,-4.657004151638087
456.95572769481896,340.0715736234805,-4.655806624157645
456.8875398021583,340.1570891397572,-4.654608919025823
456.8193344752165,340.2425916678702,-4.653411036285019
456.7511117162612,340.32808120429775,-4.652212975977633
456.6828715275606,340.41355774551823,-4.651014738146078
456.6146139113835,340.4990212880104,-4.649816322832772
456.5463388699994,340.5844718282534,-4.648617730080141
456.4780464056786,340.66990936272657,-4.64741895993062
456.409736520692,340.75533388790956,-4.646220012426653
456.3414092173114,340.84074540028234,-4.6450208876106895
456.27306449780906,340.92614389632524,-4.64382158552519
456.2047023644581,341.0115293725187,-4.642622106212619
456.1363228195322,341.09690182534365,-4.641422449715453
456.06792586530577,341.18226125128126,-4.640222616076174
455.9995115040538,341.26760764681296,-4.639022605337272
455.9310797380525,341.35294100842054,-4.637822417541246
455.8626305695781,341.4382613325861,-4.636622052730605
455.7941640009077,341.5235686157919,-4.63542151094786
455.72568003431945,341.60886285452057,-4.634220792235535
455.6571786720919,341.6941440452552,-4.633019896636162
455.58865991650435,341.77941218447893,-4.631818824192278
455.5201237698367,341.86466726867536,-4.63061757494643
455.45157023436957,341.94990929432834,-4.629416148941172
455.3829993123847,342.035138257922,-4.628214546219069
455.3144110061638,342.1203541559408,-4.627012766822688
455.2458053179898,342.2055569848695,-4.62581081079461
455.1771822501461,342.29074674119306,-4.624608678177421
455.108541804917,342.375923421397,-4.623406369013716
455.0398839845871,342.46108702196676,-4.622203883346096
454.9712087914421,342.5462375393885,-4.621001221217173
454.9025162277682,342.63137497014833,-4.619798382669565
454.83380629585236,342.7164993107329,-4.618595367745898
454.76507899798224,342.8016105576289,-4.617392176488806
454.69633433644617,342.88670870732363,-4.616188808940934
454.6275723135331,342.9717937563045,-4.61498526514493
454.5587929315327,343.05686570105917,-4.6137815451434525
454.4899961927356,343.14192453807584,-4.612577648979168
454.42118209943266,343.22697026384276,-4.611373576694752
454.3523506539157,343.3120028748486,-4.610169328332885
454.2835018584773,343.39702236758234,-4.6089649039362595
454.2146357154106,343.48202873853313,-4.607760303547571
454.1457522270095,343.56702198419066,-4.6065555272095295
454.07685139556844,343.65200210104473,-4.605350574964845
454.00793322338285,343.73696908558554,-4.604145446856243
453.9389977127485,343.8219229343035,-4.6029401429264505
453.8700448659623,343.90686364368935,-4.601734663218208
453.8010746853213,343.9917912102342,-4.600529007774262
453.73208717312366,344.07670563042944,-4.599323176637365
453.663082331668,344.1616069007666,-4.598117169850279
453.5940601632539,344.24649501773786,-4.596910987455774
