neptune_x,neptune_y,neptune_z
625.5192793022213,-133.36693831202976,-11.670763500035806
625.5329774915236,-133.3008810342993,-11.672431380893142
625.5466687658328,-133.2348222848212,-11.674099132700379
625.5603531249819,-133.16876206432295,-11.6757667554388
625.5740305688045,-133.10270037353195,-11.677434249089705
625.5877010971338,-133.03663721317565,-11.679101613634389
625.6013647098034,-132.97057258398158,-11.680768849054141
625.6150214066466,-132.9045064866772,-11.68243595533026
625.6286711874974,-132.83843892199,-11.684102932444043
625.642314052189,-132.77236989064755,-11.68576978037679
625.6559500005554,-132.70629939337738,-11.687436499109799
625.6695790324308,-132.64022743090712,-11.689103088624375
625.6832011476482,-132.57415400396425,-11.690769548901821
625.6968163460424,-132.50807911327647,-11.692435879923439
625.710424627447,-132.44200275957132,-11.694102081670534
625.7240259916964,-132.37592494357654,-11.69576815412442
625.7376204386246,-132.3098456660197,-11.697434097266395
625.7512079680658,-132.24376492762855,-11.699099911077775
625.7647885798546,-132.17768272913074,-11.700765595539867
625.7783622738252,-132.111599071254,-11.702431150633988
625.7919290498122,-132.0455139547261,-11.70409657634145
625.8054889076501,-131.9794273802747,-11.705761872643567
625.8190418471735,-131.91333934862763,-11.707427039521653
625.8325878682172,-131.84724986051268,-11.709092076957031
625.846126970616,-131.7811589166576,-11.710756984931015
625.8596591542046,-131.7150665177903,-11.712421763424928
625.873184418818,-131.64897266463856,-11.714086412420087
625.8867027642913,-131.58287735793027,-11.715750931897817
625.9002141904595,-131.5167805983933,-11.717415321839448
625.9137186971576,-131.45068238675552,-11.719079582226296
625.9272162842211,-131.3845827237449,-11.720743713039695
625.9407069514851,-131.31848161008932,-11.722407714260969
625.954190698785,-131.25237904651672,-11.724071585871446
625.9676675259564,-131.1862750337551,-11.725735327852462
625.9811374328345,-131.12016957253246,-11.727398940185347
625.9946004192551,-131.05406266357676,-11.729062422851431
626.0080564850538,-130.987954307616,-11.730725775832054
626.0215056300665,-130.92184450537832,-11.732388999108547
626.0349478541286,-130.85573325759168,-11.73405209266225
626.0483831570765,-130.7896205649842,-11.7357150564745
626.0618115387459,-130.72350642828397,-11.73737789052664
626.0752329989728,-130.65739084821908,-11.739040594800011
626.0886475375931,-130.59127382551767,-11.740703169275948
626.1020551544434,-130.5251553609079,-11.742365613935805
626.1154558493597,-130.4590354551179,-11.74402792876092
626.1288496221784,-130.39291410887589,-11.745690113732644
626.1422364727359,-130.32679132291,-11.747352168832323
626.1556164008687,-130.26066709794856,-11.749014094041309
626.1689894064131,-130.19454143471972,-11.750675889340945
626.182355489206,-130.12841433395175,-11.752337554712595
626.195714649084,-130.06228579637295,-11.7539990901376
626.2090668858838,-129.99615582271156,-11.755660495597324
626.2224121994423,-129.93002441369592,-11.757321771073112
626.2357505895964,-129.86389157005434,-11.758982916546332
626.2490820561832,-129.79775729251517,-11.760643931998336
626.2624065990394,-129.73162158180676,-11.762304817410485
626.2757242180026,-129.6654844386575,-11.763965572764144
626.2890349129096,-129.59934586379578,-11.765626198040668
626.3023386835979,-129.53320585794998,-11.767286693221426
626.315635529905,-129.46706442184856,-11.768947058287784
626.3289254516678,-129.40092155622,-11.770607293221108
626.3422084487245,-129.3347772617927,-11.772267398002764
626.355484520912,-129.26863153929517,-11.773927372614121
626.3687536680684,-129.20248438945592,-11.775587217036547
626.3820158900313,-129.13633581300346,-11.77724693125142
626.3952711866384,-129.07018581066632,-11.778906515240108
626.4085195577275,-129.00403438317304,-11.780565968983987
626.4217610031368,-128.93788153125223,-11.782225292464434
626.4349955227043,-128.8717272556324,-11.783884485662824
626.448223116268,-128.80557155704224,-11.785543548560538
626.4614437836659,-128.73941443621035,-11.787202481138953
626.4746575247364,-128.67325589386536,-11.78886128337945
