earth_x,earth_y,earth_z
-146.63142686271158,-29.601524180056707,0.004367842494021971
-146.14328578289752,-32.128912479067445,0.004479855815924945
-145.6119157047138,-34.64680086435113,0.00459055041085608
-145.03751144871399,-37.154453572756196,0.004699895377979531
-144.42028020389864,-39.65113914990571,0.004807860296912646
-143.76044142315575,-42.13613065177698,0.004914415235723675
-143.0582267156896,-44.608705843501106,0.005019530758733723
-142.31387973651732,-47.06814739534995,0.0051231779341178955
-141.52765607311213,-49.51374307588006,0.005225328341300041
-140.69982312927124,-51.94478594220561,0.0053259540781348145
-139.83066000628716,-54.36057452737464,0.005425027767870047
-138.92045738149935,-56.760413024824715,0.005522522565881404
-137.96951738430366,-59.14361146989686,0.005618412166170346
-136.97815346969603,-61.509485918388194,0.00571267080761507
-135.94669028942636,-63.857358622126014,0.0058052732799627445
