mars_x,mars_y,mars_z
-133.2910235229952,-187.73841269457895,-0.663515223965857
-131.49964338954683,-188.76309689480811,-0.728936546313495
-129.69755882791824,-189.7724192064005,-0.7942985342741399
-127.88488995783582,-190.76625863742998,-0.8595957049479005
-126.06175837067532,-191.74449485224721,-0.9248225530810812
-124.22828713286852,-192.70700818968353,-0.9899735513641424
-122.3846007891164,-193.65367968148593,-1.0550431507392672
-120.53082536540272,-194.58439107098283,-1.1200257807176728
-118.66708837180158,-195.49902483198014,-1.1849158497068093
-116.79351880507326,-196.3974641878868,-1.2497077453475842
-114.91024715104143,-197.2795931310694,-1.3143958348617535
-113.01740538674584,-198.1452964424343,-1.3789744654096112
-111.11512698236366,-198.994459711237,-1.44343796445812
-109.20354690289327,-199.826969355117,-1.5077806401596088
-107.28280160959358,-200.64271264035705,-1.5719967817411795
-105.35302906117259,-201.44157770236524,-1.6360806599049456
-103.4143687147182,-202.22345356637823,-1.7000265272392379
-101.46696152636461,-202.98823016838406,-1.7638286186409038
-99.51094995168755,-203.73579837626232,-1.8274811517488256
-97.54647794582122,-204.4660500111398,-1.8909783273887832
-95.57369096329045,-205.17887786895906,-1.9543143300297812
-93.59273595755057,-205.87417574225802,-2.017483328251962
-91.6037613802284,-206.55183844215713,-2.0804794752262206
-89.60691718005721,-207.21176182055234,-2.1432969092056338
-87.60235480149824,-207.85384279250997,-2.2059297540288205
-85.59022718304224,-208.47797935886106,-2.2683721196353304
-83.57068875518345,-209.08407062899138,-2.3306181025931765
-81.5438954380588,-209.67201684382388,-2.392661786638606
-79.51000463874551,-210.24171939898972,-2.4544972432282086
-77.46917524820967,-210.79308086818406,-2.5161185321034525
-75.42156763789843,-211.32600502670243,-2.5775197018677414
-73.36734365596892,-211.84039687515346,-2.6386947905760727
-71.3066666231463,-212.3361626633434,-2.6996378263373777
-69.23970132820419,-212.81320991432744,-2.760342827929621
-67.16661402305972,-213.27144744862358,-2.820803805427727
-65.08757241747644,-213.7107854085829,-2.8810147608444012
-63.00274567336769,-214.1311352829118,-2.940969688783908
-60.912304398693344,-214.53240993134003,-3.0006625771088564
-58.81642064094278,-214.91452360942841,-3.0600874076200535
-56.715267880196954,-215.2773919935111,-3.119238156749466
-54.60902102176253,-215.620932205765,-3.1781087962663364
-52.49785638837104,-215.94506283940072,-3.236693293996486
-50.381951711936125,-216.24970398396732,-3.2949856145548457
-48.261486124861854,-216.53477725076493,-3.3529797200912346
-46.13664015089534,-216.80020579835696,-3.4106695710494113
-44.00759569551682,-217.0459143581752,-3.4680491269394156
-41.8745360358605,-217.2718292602095,-3.5251123471232058
-39.737645810159485,-217.4778784587746,-3.5818531916136003
-37.597111006708346,-217.66399155834551,-3.6382656218865144
-35.45311895233681,-217.83009983945337,-3.694343601706475
-33.305858300388316,-217.97613628463282,-3.750081097965402
-31.155519018197193,-218.10203560441224,-3.8054720815346132
-29.00229237405847,-218.20773426333776,-3.8605105281300207
-26.84637092368433,-218.29317050602145,-3.915190419190456
-24.68794849614149,-218.35828438320416,-3.969505742769076
-22.52722017926394,-218.40301777782352,-4.023450494437768
-20.36438230453547,-218.42731443107633,-4.077018678204475
-18.1996324314369,-218.43111996846568,-4.130204307443348
-16.033169331252758,-218.41438192582163,-4.183001405837629
-13.865192970332638,-218.37704977528526,-4.235404008335143
-11.6959044928025,-218.31907495124412,-4.287406162116289
-9.52550620272136,-218.2404108762087,-4.339001927574386
-7.3542015456791825,-218.14101298661777,-4.390185379308241
-5.182195089831855,-218.02083875856079,-4.440950607126795
-3.00969250636942,-217.87984773340577,-4.491291717065662
-0.8369005494139794,-217.71800154331962,-4.541202832415418
1.335972964656081,-217.53526393666945,-4.590678094761438
3.5087191784586365,-217.33160080329122,-4.639711665035105
5.681128215439959,-217.10698019961308,-4.688297724576173
7.852989202289005,-216.86137237362064,-4.736430476206077
10.024090291936092,-216.59474978965045,-4.784104145311979
12.19421868713796,-216.30708715299815,-4.831312980941284
14.363160664650872,-215.99836143432753,-4.87805125690642
16.53070159999308,-215.66855189386726,-4.924313272899575
18.69662599279772,-215.31764010537978,-4.970093355617163
20.860717492756812,-214.94560997988975,-5.015385859893719
23.022758926156694,-214.55244778915616,-5.060185169844923
25.182532323004907,-214.13814218887467,-5.104485700019459
