sun_x,sun_y,sun_z
1.2494096461468068e-06,-5.2567625112470645e-06,-2.513125557602694e-08
1.2738620366457503e-06,-5.378701569834489e-06,-2.5303907981432148e-08
1.2984154426877362e-06,-5.502137271722916e-06,-2.5468268363617863e-08
1.3230691075096474e-06,-5.627076136582592e-06,-2.5624389145322197e-08
1.3478224017895826e-06,-5.7535247423858305e-06,-2.5772323169017088e-08
1.3726748293443046e-06,-5.881489728067249e-06,-2.591212458992696e-08
1.397626033104119e-06,-6.010977795266593e-06,-2.6043849731816816e-08
1.4226758012951634e-06,-6.141995709211694e-06,-2.6167557903700815e-08
1.4478240737732364e-06,-6.274550298793025e-06,-2.6283312176403702e-08
1.4730709484649508e-06,-6.408648455874609e-06,-2.639118011841778e-08
1.4984166878815288e-06,-6.5442971338790566e-06,-2.6491234490787146e-08
1.523861725678263e-06,-6.681503345677284e-06,-2.6583553900854193e-08
1.5494066732388024e-06,-6.820274160806071e-06,-2.6668223414648256e-08
1.5750523262681357e-06,-6.9606167020290385e-06,-2.674533512749965e-08
1.6007996713816148e-06,-7.102538141248937e-06,-2.681498869213396e-08
1.6266498926796094e-06,-7.246045694771106e-06,-2.6877291803044938e-08
1.6526043782984818e-06,-7.3911466179097035e-06,-2.6932360635356054e-08
1.678664726928449e-06,-7.537848198919683e-06,-2.6980320235652524e-08
1.7048327542875071e-06,-7.68615775222836e-06,-2.7021304861382634e-08
1.7311104995377479e-06,-7.836082610930813e-06,-2.7055458264370385e-08
1.7575002316259133e-06,-7.987630118503133e-06,-2.7082933912725448e-08
1.784004455523601e-06,-8.140807619676737e-06,-2.7103895143951253e-08
1.8106259183337709e-06,-8.295622450405425e-06,-2.7118515240302166e-08
1.8373676152186437e-06,-8.45208192684489e-06,-2.712697741538648e-08
1.8642327950890974e-06,-8.610193333251781e-06,-2.712947469860922e-08
1.8912249659765782e-06,-8.769963908696859e-06,-2.7126209701252315e-08
1.9183478999844294e-06,-8.931400832474254e-06,-2.711739424475482e-08
1.945605637685416e-06,-9.094511208077273e-06,-2.7103248828043055e-08
1.9730024917949182e-06,-9.259302045601677e-06,-2.7084001906544655e-08
2.000543049903481e-06,-9.425780242430866e-06,-2.7059888950798993e-08
2.0282321759967636e-06,-9.593952562056597e-06,-2.7031151247388328e-08
2.056075010424113e-06,-9.763825610895823e-06,-2.6998034399360036e-08
2.0840769678977445e-06,-9.935405812983266e-06,-2.6960786477587897e-08
2.11224373301224e-06,-1.0108699382454987e-05,-2.6919655768963292e-08
2.140581252668775e-06,-1.0283712293796795e-05,-2.687488806244443e-08
2.1690957246718698e-06,-1.0460450249921194e-05,-2.6826723410616586e-08
2.197793581642342e-06,-1.0638918648266529e-05,-2.67753923036703e-08
2.2266814692659398e-06,-1.0819122545294038e-05,-2.6721111196169327e-08
2.2557662177850236e-06,-1.1001066620003927e-05,-2.666407733676349e-08
2.285054805559685e-06,-1.1184755137412602e-05,-2.6604462869792454e-08
2.3145543135020123e-06,-1.1370191913338443e-05,-2.6542408208777235e-08
2.344271869260414e-06,-1.1557380282336233e-05,-2.6478014728762033e-08
2.3742145802477864e-06,-1.1746323071191126e-05,-2.6411336891016922e-08
2.4043894550248886e-06,-1.1937022581004267e-05,-2.634237400268197e-08
2.4348033132292245e-06,-1.2129480581518188e-05,-2.6271061926548175e-08
2.465462685233605e-06,-1.2323698321848706e-05,-2.6197265189740917e-08
2.496373704055982e-06,-1.2519676562078257e-05,-2.6120770086290766e-08
2.5275419937009516e-06,-1.2717415630049383e-05,-2.6041279511278207e-08
2.558972559990811e-06,-1.2916915506981387e-05,-2.595841037796704e-08
2.5906696918285557e-06,-1.311817594403517e-05,-2.5871694519830724e-08
2.622636882395083e-06,-1.3321196609563538e-05,-2.5780583927348155e-08
2.654876780587402e-06,-1.3525977263547899e-05,-2.568446097880866e-08
2.687391182595766e-06,-1.3732517951901404e-05,-2.558265397463241e-08
2.7201810715324274e-06,-1.394081920943349e-05,-2.5474457785143592e-08
2.75324670935015e-06,-1.4150882257057702e-05,-2.5359158822100946e-08
2.786587780194489e-06,-1.4362709177094486e-05,-2.523606293561081e-08
2.820203578516994e-06,-1.457630305093439e-05,-2.5104524338257707e-08
2.8540932297605227e-06,-1.479166804615317e-05,-2.4963973383228555e-08
2.8882559273175555e-06,-1.5008809445125006e-05,-2.481394105102711e-08
2.922691167624109e-06,-1.5227733613438037e-05,-2.4654078342125827e-08
2.957398966043781e-06,-1.5448447912815214e-05,-2.4484169368425716e-08
2.99238003936252e-06,-1.567096056861121e-05,-2.4304137665469342e-08
3.0276359454866745e-06,-1.5895280505436342e-05,-2.411404596949454e-08
3.063169176292639e-06,-1.6121417165704162e-05,-2.3914090296516454e-08
3.098983204540771e-06,-1.6349380325083112e-05,-2.37045895493515e-08
3.135082489640556e-06,-1.657917991650175e-05,-2.348597204341633e-08
3.1714724495132346e-06,-1.681082587121308e-05,-2.3258760310861862e-08
3.208159406860428e-06,-1.7044327982127502e-05,-2.3023555370699273e-08
3.2451505180651874e-06,-1.7279695791664226e-05,-2.2781021403224328e-08
3.2824536920832994e-06,-1.7516938504026907e-05,-2.2531871495818324e-08
3.3200775053852973e-06,-1.7756064920169044e-05,-2.22768548741672e-08
